fips,county_name,total_population,women_repro_age,pct_uninsured_women,pct_poverty,pct_no_vehicle,pct_broadband
37001,Alamance,174286,119249,32.22,14.1,4.43,88.19
37003,Alexander,36440,22550,28.67,12.1,2.58,84.63
37005,Alleghany,11075,6819,22.65,17.4,6.38,81.05
37007,Anson,21903,14053,30.13,21.2,8.6,84.39
37009,Ashe,26831,16667,23.18,14.1,4.99,80.18
37011,Avery,17643,10029,25.95,11.0,4.76,82.6
37013,Beaufort,44597,29379,26.6,18.0,6.78,84.58
37015,Bertie,17482,10274,23.26,19.8,9.75,69.9
37017,Bladen,29591,19295,26.95,21.2,6.7,83.42
37019,Brunswick,145889,89374,19.01,9.4,2.28,92.65
37021,Buncombe,271790,174814,26.04,11.8,5.13,87.73
37023,Burke,87863,54626,25.36,17.9,4.38,82.78
37025,Cabarrus,231262,155626,32.8,8.9,3.94,91.27
37027,Caldwell,80618,51091,27.86,12.7,4.61,85.16
37029,Camden,10743,7030,30.79,5.0,1.55,92.22
37031,Carteret,68652,42760,22.88,10.0,3.55,92.02
37033,Caswell,22689,13574,25.33,15.7,4.78,79.58
37035,Catawba,162051,106393,30.0,12.8,5.2,87.48
37037,Chatham,78319,50583,26.08,10.5,2.93,86.68
37039,Cherokee,29197,17922,21.32,14.6,4.6,82.21
37041,Chowan,13814,8626,23.31,20.5,9.67,83.3
37043,Clay,11391,7086,23.61,13.5,7.28,79.07
37045,Cleveland,100170,67250,30.86,17.2,5.91,80.76
37047,Columbus,50453,33061,30.28,18.8,5.29,80.24
37049,Craven,101074,65796,30.26,13.9,5.83,83.56
37051,Cumberland,336749,228207,35.65,17.2,6.61,89.69
37053,Currituck,29612,18636,28.52,7.6,2.03,91.4
37055,Dare,37534,23458,22.89,7.5,2.24,92.88
37057,Davidson,171063,111516,29.63,13.8,4.04,87.13
37059,Davie,43526,28105,27.62,10.0,5.04,91.67
37061,Duplin,49053,32448,31.94,17.9,5.76,78.86
37063,Durham,329405,221755,30.96,12.0,6.91,92.82
37065,Edgecombe,48777,32910,28.26,21.9,10.79,77.57
37067,Forsyth,386740,266581,32.39,14.7,6.39,89.19
37069,Franklin,71962,46582,29.37,10.1,3.57,87.65
37071,Gaston,231485,153678,29.7,12.8,5.31,87.18
37073,Gates,10437,6901,28.56,11.8,3.11,74.28
37075,Graham,8041,5066,27.97,8.7,8.97,80.68
37077,Granville,61439,38143,28.75,14.1,3.46,88.78
37079,Greene,20421,11170,28.69,22.4,5.78,80.43
37081,Guilford,542987,378291,33.68,15.2,6.79,89.31
37083,Halifax,48219,31460,27.89,25.2,9.95,70.23
37085,Harnett,136503,91673,34.88,14.5,3.84,83.5
37087,Haywood,62432,39167,23.69,11.3,4.16,82.92
37089,Henderson,117387,75055,25.05,11.7,3.81,88.0
37091,Hertford,20492,13372,28.84,21.4,8.07,79.52
37093,Hoke,53102,35982,35.06,17.4,5.29,88.43
37095,Hyde,4625,2517,20.38,22.4,8.65,68.89
37097,Iredell,191800,125078,29.98,9.1,3.5,92.61
37099,Jackson,43089,29455,35.24,19.3,4.09,76.49
37101,Johnston,226623,151575,32.73,11.2,3.82,86.17
37103,Jones,9245,5776,24.23,21.3,7.71,76.19
37105,Lee,64565,43000,32.17,15.5,4.25,76.03
37107,Lenoir,54917,36979,29.6,22.5,8.3,79.59
37109,Lincoln,90359,57614,27.92,9.0,3.36,90.44
37111,McDowell,44679,27967,26.86,14.0,6.36,82.96
37113,Macon,37533,23466,24.72,14.4,5.31,80.78
37115,Madison,21640,13661,27.79,11.4,3.64,81.72
37117,Martin,21773,14733,27.0,19.6,8.61,81.45
37119,Mecklenburg,1130906,765637,32.18,10.4,5.68,93.14
37121,Mitchell,14973,9427,24.53,13.0,8.95,80.47
37123,Montgomery,25874,16739,27.95,16.1,4.35,78.67
37125,Moore,102840,66214,27.47,10.0,4.13,89.57
37127,Nash,95451,63749,29.73,14.0,7.38,82.54
37129,New Hanover,231214,156538,30.44,12.4,5.88,91.87
37131,Northampton,17212,10857,22.92,20.0,7.99,69.79
37133,Onslow,208537,128275,39.68,11.7,4.23,92.17
37135,Orange,147292,104893,38.24,12.4,4.86,93.57
