fips,county_name,region,western_nc,helene_impacted,pct_uninsured_women,pct_poverty,providers_per_10k,pct_uninsured_women_norm,pct_poverty_norm,providers_per_10k_norm,burden_index,burden_tier
37189,Watauga,Western NC,1,0,44.27,24.7,1.27,1.0,0.8277310924369747,0.8820798514391829,0.9033,High Burden
37155,Robeson,Piedmont/Coastal,0,0,35.26,28.8,1.11,0.643309580364212,1.0,0.8969359331476323,0.8467,High Burden
37165,Scotland,Piedmont/Coastal,0,0,33.15,26.6,1.37,0.5597783056215359,0.9075630252100841,0.872794800371402,0.78,High Burden
37153,Richmond,Piedmont/Coastal,0,0,33.14,25.2,1.39,0.5593824228028502,0.8487394957983192,0.8709377901578459,0.7597,High Burden
37083,Halifax,Piedmont/Coastal,0,0,27.89,25.2,0.64,0.35154394299287406,0.8487394957983192,0.9405756731662024,0.7136,High Burden
37093,Hoke,Piedmont/Coastal,0,0,35.06,17.4,0.28,0.6353919239904989,0.5210084033613445,0.9740018570102136,0.7101,High Burden
37163,Sampson,Piedmont/Coastal,0,0,33.2,20.2,0.77,0.5617577197149645,0.6386554621848739,0.9285051067780873,0.7096,High Burden
37007,Anson,Piedmont/Coastal,0,0,30.13,21.2,0.0,0.4402216943784639,0.680672268907563,1.0,0.707,High Burden
37099,Jackson,Western NC,1,0,35.24,19.3,1.36,0.6425178147268408,0.6008403361344539,0.8737233054781801,0.7057,High Burden
37079,Greene,Piedmont/Coastal,0,0,28.69,22.4,0.0,0.3832145684877276,0.7310924369747898,1.0,0.7048,High Burden
37181,Vance,Piedmont/Coastal,0,0,31.54,19.0,0.0,0.4960411718131431,0.588235294117647,1.0,0.6948,High Burden
37173,Swain,Western NC,1,0,28.78,21.1,0.0,0.38677751385589854,0.6764705882352942,1.0,0.6877,High Burden
37195,Wilson,Piedmont/Coastal,0,0,30.67,21.0,1.13,0.4615993665874901,0.6722689075630253,0.8950789229340761,0.6763,High Burden
37133,Onslow,Piedmont/Coastal,0,0,39.68,11.7,0.86,0.8182897862232777,0.28151260504201675,0.9201485608170845,0.6733,High Burden
37107,Lenoir,Piedmont/Coastal,0,0,29.6,22.5,1.62,0.4192399049881236,0.7352941176470589,0.8495821727019498,0.668,High Burden
37061,Duplin,Piedmont/Coastal,0,0,31.94,17.9,0.62,0.51187648456057,0.5420168067226889,0.9424326833797586,0.6654,High Burden
37017,Bladen,Piedmont/Coastal,0,0,26.95,21.2,0.0,0.3143309580364212,0.680672268907563,1.0,0.665,High Burden
37065,Edgecombe,Piedmont/Coastal,0,0,28.26,21.9,0.91,0.3661916072842438,0.7100840336134453,0.9155060352831941,0.6639,High Burden
37191,Wayne,Piedmont/Coastal,0,0,33.24,16.9,0.9,0.563341250989707,0.49999999999999994,0.9164345403899721,0.6599,High Burden
37187,Washington,Piedmont/Coastal,0,0,22.77,24.7,0.0,0.14885193982581146,0.8277310924369747,1.0,0.6589,High Burden
37047,Columbus,Piedmont/Coastal,0,0,30.28,18.8,0.6,0.4461599366587491,0.5798319327731092,0.9442896935933147,0.6568,High Burden
37085,Harnett,Piedmont/Coastal,0,0,34.88,14.5,0.65,0.6282660332541569,0.3991596638655462,0.9396471680594243,0.6557,High Burden
37185,Warren,Piedmont/Coastal,0,0,25.13,22.2,0.0,0.24228028503562937,0.722689075630252,1.0,0.655,High Burden
37147,Pitt,Piedmont/Coastal,0,0,38.47,19.4,4.72,0.7703879651623119,0.6050420168067225,0.5617455896007428,0.6457,High Burden
37051,Cumberland,Piedmont/Coastal,0,0,35.65,17.2,2.76,0.6587490102929531,0.5126050420168067,0.7437325905292479,0.6384,High Burden
37105,Lee,Piedmont/Coastal,0,0,32.17,15.5,0.7,0.5209817893903405,0.4411764705882352,0.9350046425255338,0.6324,High Burden
37177,Tyrrell,Piedmont/Coastal,0,0,24.86,20.8,0.0,0.23159144893111627,0.6638655462184875,1.0,0.6318,High Burden
37103,Jones,Piedmont/Coastal,0,0,24.23,21.3,0.0,0.20665083135391926,0.6848739495798319,1.0,0.6305,High Burden
37145,Person,Piedmont/Coastal,0,0,28.16,18.4,0.39,0.36223277909738705,0.5630252100840336,0.9637883008356546,0.6297,High Burden
37159,Rowan,Piedmont/Coastal,0,0,30.99,15.8,0.52,0.4742676167854313,0.453781512605042,0.9517177344475395,0.6266,High Burden
37091,Hertford,Piedmont/Coastal,0,0,28.84,21.4,2.24,0.38915281076801256,0.6890756302521008,0.7920148560817084,0.6234,High Burden
37117,Martin,Piedmont/Coastal,0,0,27.0,19.6,0.68,0.3163103721298496,0.6134453781512605,0.9368616527390901,0.6222,High Burden
37001,Alamance,Piedmont/Coastal,0,0,32.22,14.1,0.84,0.5229612034837686,0.3823529411764705,0.9220055710306406,0.6091,High Burden
37123,Montgomery,Piedmont/Coastal,0,0,27.95,16.1,0.0,0.3539192399049881,0.4663865546218488,1.0,0.6068,Medium Burden
37151,Randolph,Piedmont/Coastal,0,0,30.46,14.8,0.53,0.45328582739509093,0.411764705882353,0.9507892293407614,0.6053,Medium Burden
37045,Cleveland,Piedmont/Coastal,0,0,30.86,17.2,1.93,0.4691211401425178,0.5126050420168067,0.8207985143918292,0.6008,Medium Burden
37081,Guilford,Piedmont/Coastal,0,0,33.68,15.2,2.25,0.5807600950118764,0.42857142857142855,0.7910863509749304,0.6001,Medium Burden
37015,Bertie,Piedmont/Coastal,0,0,23.26,19.8,0.0,0.16825019794140939,0.6218487394957983,1.0,0.5967,Medium Burden
37095,Hyde,Piedmont/Coastal,0,0,20.38,22.4,0.0,0.05423594615993654,0.7310924369747898,1.0,0.5951,Medium Burden
37131,Northampton,Piedmont/Coastal,0,0,22.92,20.0,0.0,0.15479018210609663,0.6302521008403361,1.0,0.595,Medium Burden
37101,Johnston,Piedmont/Coastal,0,0,32.73,11.2,0.59,0.5431512272367377,0.26050420168067223,0.9452181987000928,0.583,Medium Burden
37157,Rockingham,Piedmont/Coastal,0,0,27.23,16.8,0.85,0.3254156769596198,0.49579831932773105,0.9210770659238625,0.5808,Medium Burden
37161,Rutherford,Western NC,1,1,27.13,17.6,1.19,0.32145684877276326,0.5294117647058825,0.8895078922934077,0.5801,Medium Burden
37057,Davidson,Piedmont/Coastal,0,0,29.63,13.8,0.54,0.4204275534441805,0.36974789915966383,0.9498607242339833,0.58,Medium Burden
37171,Surry,Piedmont/Coastal,0,0,29.48,16.7,1.91,0.41448931116389554,0.49159663865546216,0.8226555246053853,0.5762,Medium Burden
37013,Beaufort,Piedmont/Coastal,0,0,26.6,18.0,1.36,0.3004750593824229,0.546218487394958,0.8737233054781801,0.5735,Medium Burden
37023,Burke,Western NC,1,0,25.36,17.9,0.92,0.2513855898653997,0.5420168067226889,0.914577530176416,0.5693,Medium Burden
37193,Wilkes,Western NC,1,0,27.45,16.4,1.19,0.33412509897070464,0.47899159663865537,0.8895078922934077,0.5675,Medium Burden
37049,Craven,Piedmont/Coastal,0,0,30.26,13.9,1.37,0.4453681710213776,0.3739495798319327,0.872794800371402,0.564,Medium Burden
37127,Nash,Piedmont/Coastal,0,0,29.73,14.0,1.25,0.42438638163103726,0.3781512605042016,0.8839368616527391,0.5622,Medium Burden
