fips,county_name,births_1st_trimester,births_2nd_trimester,births_3rd_trimester,births_no_prenatal,births_unknown,total_births,pct_1st_trimester,pct_3rd_trimester,pct_no_prenatal,births_late_no_prenatal,pct_late_no_prenatal,has_suppressed_data
37001,Alamance,12394.0,3240.0,811.0,576.0,248.0,17269.0,71.77,4.7,3.34,1387.0,8.03,0
37019,Brunswick,7478.0,1651.0,365.0,185.0,88.0,9767.0,76.56,3.74,1.89,550.0,5.63,0
37021,Buncombe,19083.0,1714.0,292.0,352.0,349.0,21790.0,87.58,1.34,1.62,644.0,2.96,0
37025,Cabarrus,18157.0,3821.0,802.0,534.0,162.0,23476.0,77.34,3.42,2.27,1336.0,5.69,0
37035,Catawba,11934.0,2034.0,647.0,345.0,47.0,15007.0,79.52,4.31,2.3,992.0,6.61,0
37049,Craven,8613.0,2263.0,734.0,177.0,68.0,11855.0,72.65,6.19,1.49,911.0,7.68,0
37051,Cumberland,34953.0,9296.0,2225.0,971.0,179.0,47624.0,73.39,4.67,2.04,3196.0,6.71,0
37057,Davidson,12438.0,2256.0,720.0,467.0,46.0,15927.0,78.09,4.52,2.93,1187.0,7.45,0
37063,Durham,27174.0,7173.0,2054.0,695.0,343.0,37439.0,72.58,5.49,1.86,2749.0,7.34,0
37067,Forsyth,30073.0,6129.0,1804.0,1484.0,268.0,39758.0,75.64,4.54,3.73,3288.0,8.27,0
37071,Gaston,17319.0,4559.0,1034.0,875.0,172.0,23959.0,72.29,4.32,3.65,1909.0,7.97,0
37081,Guilford,36631.0,12418.0,3359.0,999.0,223.0,53630.0,68.3,6.26,1.86,4358.0,8.13,0
37085,Harnett,11885.0,3099.0,859.0,751.0,291.0,16885.0,70.39,5.09,4.45,1610.0,9.54,0
37089,Henderson,7858.0,1009.0,210.0,124.0,96.0,9297.0,84.52,2.26,1.33,334.0,3.59,0
37097,Iredell,12905.0,3054.0,840.0,786.0,87.0,17672.0,73.03,4.75,4.45,1626.0,9.2,0
37101,Johnston,18175.0,3771.0,780.0,572.0,126.0,23424.0,77.59,3.33,2.44,1352.0,5.77,0
37119,Mecklenburg,94890.0,26829.0,6537.0,5603.0,257.0,134116.0,70.75,4.87,4.18,12140.0,9.05,0
37129,New Hanover,14094.0,4479.0,713.0,292.0,105.0,19683.0,71.6,3.62,1.48,1005.0,5.11,0
37133,Onslow,23860.0,6486.0,2170.0,1727.0,393.0,34636.0,68.89,6.27,4.99,3897.0,11.25,0
37135,Orange,8079.0,1588.0,393.0,108.0,234.0,10402.0,77.67,3.78,1.04,501.0,4.82,0
37147,Pitt,15028.0,2529.0,481.0,280.0,181.0,18499.0,81.24,2.6,1.51,761.0,4.11,0
37151,Randolph,10554.0,2505.0,629.0,262.0,119.0,14069.0,75.02,4.47,1.86,891.0,6.33,0
37155,Robeson,9791.0,3870.0,1228.0,1108.0,302.0,16299.0,60.07,7.53,6.8,2336.0,14.33,0
37159,Rowan,10317.0,2927.0,619.0,435.0,63.0,14361.0,71.84,4.31,3.03,1054.0,7.34,0
37179,Union,16577.0,4267.0,869.0,398.0,20.0,22131.0,74.9,3.93,1.8,1267.0,5.73,0
37183,Wake,83372.0,21496.0,6364.0,4225.0,762.0,116219.0,71.74,5.48,3.64,10589.0,9.11,0
37191,Wayne,10103.0,3240.0,871.0,302.0,104.0,14620.0,69.1,5.96,2.07,1173.0,8.02,0
37999,"Unidentified Counties, NC",207658.0,48907.0,12744.0,8483.0,2673.0,280465.0,74.04,4.54,3.02,21227.0,7.57,0
