county_name,hpsa_score,hpsa_record_count,hpsa_designated,fips
"Alamance County, Nc",14.0,1,1,37001
"Alexander County, Nc",16.0,2,1,37003
"Alleghany County, Nc",19.0,2,1,37005
"Anson County, Nc",22.0,4,1,37007
"Ashe County, Nc",14.0,1,1,37009
"Avery County, Nc",16.0,3,1,37011
"Beaufort County, Nc",22.0,2,1,37013
"Bertie County, Nc",19.0,4,1,37015
"Bladen County, Nc",22.0,3,1,37017
"Brunswick County, Nc",18.0,13,1,37019
"Buncombe County, Nc",19.0,5,1,37021
"Burke County, Nc",17.0,3,1,37023
"Cabarrus County, Nc",19.0,13,1,37025
"Caldwell County, Nc",17.0,2,1,37027
"Camden County, Nc",10.0,1,1,37029
"Carteret County, Nc",12.0,8,1,37031
"Caswell County, Nc",22.0,2,1,37033
"Catawba County, Nc",16.0,2,1,37035
"Chatham County, Nc",15.0,15,1,37037
"Cherokee County, Nc",17.0,5,1,37039
"Chowan County, Nc",18.0,1,1,37041
"Clay County, Nc",15.0,2,1,37043
"Cleveland County, Nc",19.0,2,1,37045
"Columbus County, Nc",23.0,5,1,37047
"Craven County, Nc",23.0,4,1,37049
"Cumberland County, Nc",21.0,2,1,37051
"Davidson County, Nc",17.0,2,1,37057
"Davie County, Nc",16.0,3,1,37059
"Duplin County, Nc",21.0,2,1,37061
"Durham County, Nc",19.0,1,1,37063
"Edgecombe County, Nc",23.0,3,1,37065
"Forsyth County, Nc",19.0,2,1,37067
"Franklin County, Nc",16.0,2,1,37069
"Gaston County, Nc",14.0,2,1,37071
"Gates County, Nc",19.0,2,1,37073
"Graham County, Nc",17.0,3,1,37075
"Granville County, Nc",16.0,4,1,37077
"Greene County, Nc",22.0,4,1,37079
"Guilford County, Nc",19.0,65,1,37081
"Halifax County, Nc",22.0,3,1,37083
"Harnett County, Nc",21.0,3,1,37085
"Haywood County, Nc",15.0,3,1,37087
"Henderson County, Nc",17.0,23,1,37089
"Hertford County, Nc",19.0,2,1,37091
"Hoke County, Nc",19.0,2,1,37093
"Hyde County, Nc",16.0,2,1,37095
"Jackson County, Nc",18.0,3,1,37099
"Johnston County, Nc",21.0,15,1,37101
"Jones County, Nc",19.0,1,1,37103
"Lee County, Nc",20.0,2,1,37105
"Lenoir County, Nc",22.0,3,1,37107
"Lincoln County, Nc",16.0,4,1,37109
"Macon County, Nc",17.0,2,1,37113
"Madison County, Nc",19.0,2,1,37115
"Martin County, Nc",21.0,2,1,37117
"Mcdowell County, Nc",19.0,7,1,37111
"Mecklenburg County, Nc",18.0,271,1,37119
"Mitchell County, Nc",20.0,3,1,37121
"Montgomery County, Nc",20.0,1,1,37123
"Nash County, Nc",19.0,3,1,37127
"New Hanover County, Nc",19.0,3,1,37129
"Northampton County, Nc",20.0,2,1,37131
"Onslow County, Nc",13.0,1,1,37133
"Orange County, Nc",19.0,1,1,37135
"Pamlico County, Nc",15.0,2,1,37137
"Pasquotank County, Nc",16.0,2,1,37139
"Pender County, Nc",21.0,3,1,37141
"Perquimans County, Nc",16.0,1,1,37143
"Person County, Nc",20.0,2,1,37145
"Pitt County, Nc",18.0,2,1,37147
"Polk County, Nc",14.0,2,1,37149
"Randolph County, Nc",13.0,1,1,37151
"Richmond County, Nc",23.0,2,1,37153
"Robeson County, Nc",24.0,4,1,37155
"Rockingham County, Nc",15.0,2,1,37157
"Rowan County, Nc",17.0,3,1,37159
"Rutherford County, Nc",21.0,3,1,37161
"Sampson County, Nc",21.0,3,1,37163
"Scotland County, Nc",24.0,6,1,37165
"Stanly County, Nc",14.0,2,1,37167
"Stokes County, Nc",14.0,1,1,37169
"Surry County, Nc",19.0,2,1,37171
"Swain County, Nc",20.0,5,1,37173
"Transylvania County, Nc",15.0,1,1,37175
"Tyrrell County, Nc",15.0,1,1,37177
"Union County, Nc",14.0,50,1,37179
"Vance County, Nc",20.0,1,1,37181
"Wake County, Nc",22.0,8,1,37183
"Warren County, Nc",21.0,2,1,37185
"Washington County, Nc",20.0,1,1,37187
"Watauga County, Nc",20.0,2,1,37189
"Wayne County, Nc",20.0,2,1,37191
"Wilkes County, Nc",21.0,2,1,37193
"Wilson County, Nc",19.0,2,1,37195
"Yadkin County, Nc",15.0,1,1,37197
"Yancey County, Nc",17.0,2,1,37199
