fips,county_name,total_population,women_repro_age,pct_uninsured_women,pct_poverty,pct_no_vehicle,pct_broadband,rucc_code,rural_binary,rural_label,hpsa_score,hpsa_designated,births_1st_trimester,births_2nd_trimester,births_3rd_trimester,births_no_prenatal,births_unknown,total_births,pct_1st_trimester,pct_3rd_trimester,pct_no_prenatal,births_late_no_prenatal,pct_late_no_prenatal,has_suppressed_data,obgyn_count,obgyn_subsp_count,total_providers,providers_per_10k,region,western_nc,helene_impacted
37001,Alamance,174286,119249,32.22,14.1,4.43,88.19,3,0,Metro,14.0,1,12394.0,3240.0,811.0,576.0,248.0,17269.0,71.77,4.7,3.34,1387.0,8.03,0.0,10.0,0.0,10.0,0.84,Piedmont/Coastal,0,0
37003,Alexander,36440,22550,28.67,12.1,2.58,84.63,2,0,Metro,16.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Piedmont/Coastal,0,0
37005,Alleghany,11075,6819,22.65,17.4,6.38,81.05,9,1,Rural/Non-metro,19.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Western NC,1,0
37007,Anson,21903,14053,30.13,21.2,8.6,84.39,1,0,Metro,22.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Piedmont/Coastal,0,0
37009,Ashe,26831,16667,23.18,14.1,4.99,80.18,9,1,Rural/Non-metro,14.0,1,,,,,,,,,,,,,1.0,0.0,1.0,0.6,Western NC,1,0
37011,Avery,17643,10029,25.95,11.0,4.76,82.6,9,1,Rural/Non-metro,16.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Western NC,1,0
37013,Beaufort,44597,29379,26.6,18.0,6.78,84.58,6,1,Rural/Non-metro,22.0,1,,,,,,,,,,,,,3.0,1.0,4.0,1.36,Piedmont/Coastal,0,0
37015,Bertie,17482,10274,23.26,19.8,9.75,69.9,9,1,Rural/Non-metro,19.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Piedmont/Coastal,0,0
37017,Bladen,29591,19295,26.95,21.2,6.7,83.42,8,1,Rural/Non-metro,22.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Piedmont/Coastal,0,0
37019,Brunswick,145889,89374,19.01,9.4,2.28,92.65,2,0,Metro,18.0,1,7478.0,1651.0,365.0,185.0,88.0,9767.0,76.56,3.74,1.89,550.0,5.63,0.0,9.0,2.0,11.0,1.23,Piedmont/Coastal,0,0
37021,Buncombe,271790,174814,26.04,11.8,5.13,87.73,2,0,Metro,19.0,1,19083.0,1714.0,292.0,352.0,349.0,21790.0,87.58,1.34,1.62,644.0,2.96,0.0,83.0,11.0,94.0,5.38,Western NC,1,1
37023,Burke,87863,54626,25.36,17.9,4.38,82.78,2,0,Metro,17.0,1,,,,,,,,,,,,,5.0,0.0,5.0,0.92,Western NC,1,0
